,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
LISP,0.0432,0.0432,0.0564,0.0016,0.8129,0.2111,0.0279,0.0718,0.1638,0.0001,0.0,0.0,0.0001,0.0,0.8774,0.0,0.6726,0.0005,0.0108,0.1806,0.302,0.0057,0.0,0.0756,0.101,0.0002,0.0,0.5528,0.0,0.0,0.4364,0.2786,0.5611,0.0,0.0,0.0,0.0,0.023,0.0,0.3234,0.616,0.0,0.0,0.2562,0.0453,0.445,0.0009,0.372,0.0251,0.0012,0.5405,0.8263,0.8233,0.0665,0.2076,0.1487,0.1336,0.0095,0.0003,0.1805,0.3858,0.0507,0.3387,0.4494,0.2857,0.0143,0.7976,0.009,0.5158,0.0017,0.0009,0.6517,0.0665,0.045,0.8694,0.1828,0.0758,0.0002,0.1095,0.9125
F#,0.0466,0.0466,0.3561,0.0079,0.7556,0.1242,0.8264,0.0498,0.8571,0.8253,0.0098,0.3548,0.9501,0.0006,0.0001,0.7216,0.0268,0.0,0.364,0.0658,0.0,0.1237,0.9373,0.6301,0.8059,0.0002,0.0,0.0445,0.0771,0.9085,0.5155,0.0008,0.6497,0.0003,0.0005,0.0,0.0,0.0085,0.066,0.1292,0.0002,0.0013,0.0,0.1216,0.8572,0.4418,0.0,0.9543,0.8598,0.891,0.7678,0.5367,0.7547,0.0576,0.7147,0.0413,0.6067,0.0065,0.2324,0.2302,0.3906,0.2533,0.0001,0.0003,0.06,0.2097,0.6907,0.0,0.0915,0.047,0.0,0.9084,0.3447,0.6495,0.0,0.5174,0.6691,0.5681,0.952,0.2293
Elixir,0.3582,0.3582,0.0,0.0147,0.7648,0.0004,0.1248,0.5939,0.0001,0.3821,0.226,0.7364,0.0288,0.0,0.189,0.1713,0.9074,0.0,0.0002,0.0178,0.0003,0.0,0.6493,0.0486,0.1372,0.4895,0.0,0.7199,0.0,0.1628,0.2256,0.0022,0.433,0.0654,0.0916,0.023,0.0085,0.0,0.0,0.0,0.8643,0.0,0.1219,0.0,0.0,0.3375,0.0,0.0016,0.8625,0.0012,0.4813,0.0385,0.4676,0.0015,0.1852,0.1962,0.9188,0.0027,0.0799,0.2175,0.0046,0.0063,0.0,0.0748,0.0,0.596,0.7805,0.0,0.0253,0.0,0.0,0.0724,0.7543,0.0,0.1799,0.0,0.0,0.0,0.7931,0.8202
Erlang,0.2977,0.2977,0.0,0.4424,0.744,0.2363,0.1947,0.6412,0.0115,0.7746,0.0,0.0001,0.645,0.0,0.1243,0.0422,0.2481,0.0221,0.2612,0.0863,0.3324,0.0,0.1695,0.3702,0.106,0.9544,0.0,0.3523,0.0,0.0396,0.5651,0.2917,0.6845,0.0021,0.6389,0.0,0.066,0.0,0.0,0.002,0.3265,0.0,0.0261,0.0152,0.0,0.4048,0.0426,0.5156,0.0407,0.0031,0.9842,0.005,0.5159,0.0,0.4545,0.7037,0.0249,0.092,0.4894,0.0918,0.5661,0.0216,0.0013,0.1348,0.0,0.7445,0.8825,0.0731,0.1048,0.0015,0.1286,0.6388,0.5072,0.0,0.291,0.0001,0.0069,0.0,0.8143,0.8641
Crystal,0.4991,0.4991,0.754,0.3635,0.0188,0.4158,0.4056,0.0849,0.0221,0.3393,0.1113,0.0374,0.85,0.0372,0.8396,0.0354,0.0219,0.4489,0.4438,0.7942,0.5762,0.0,0.6387,0.7101,0.7623,0.6294,0.3253,0.551,0.0005,0.1743,0.4232,0.0001,0.6369,0.5037,0.0228,0.3234,0.1292,0.0,0.002,0.0,0.0006,0.0009,0.0478,0.0979,0.0019,0.0468,0.1973,0.0057,0.4369,0.1551,0.5687,0.0001,0.4065,0.2603,0.1502,0.2105,0.0276,0.2583,0.5148,0.6108,0.1232,0.7714,0.714,0.03,0.0,0.5379,0.0325,0.4704,0.1098,0.0004,0.0169,0.1789,0.153,0.0,0.6118,0.1104,0.0,0.0,0.0005,0.1628
COBOL,0.0361,0.0361,0.2735,0.0,0.0207,0.0205,0.0971,0.0448,0.0034,0.7197,0.0,0.0,0.0,0.5395,0.9907,0.213,0.0318,0.0011,0.0,0.4645,0.0004,0.4,0.0,0.0408,0.6225,0.5237,0.6105,0.0,0.2444,0.0763,0.3835,0.0,0.0129,0.2593,0.7608,0.616,0.0002,0.8643,0.3265,0.0006,0.0,0.4296,0.0,0.0368,0.5468,0.0,0.0001,0.0,0.0,0.0037,0.3683,0.0,0.1681,0.0003,0.0,0.1701,0.0631,0.1036,0.0004,0.3189,0.0005,0.1239,0.0266,0.0002,0.2454,0.0749,0.2658,0.0031,0.0003,0.1518,0.0,0.7595,0.0,0.4327,0.0003,0.5753,0.0012,0.7305,0.0038,0.4774
PostgreSQL,0.4931,0.4931,0.0,0.0,0.0,0.0,0.5415,0.4577,0.0973,0.0,0.2818,0.0143,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.002,0.0049,0.9069,0.0,0.0003,0.0,0.0,0.0655,0.0,0.0001,0.0,0.4002,0.0,0.0013,0.0,0.0,0.0009,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.4356,0.0012,0.0,0.8751,0.004,0.2163,0.3006,0.0,0.0,0.2975,0.0,0.0,0.5008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3282,0.0,0.0,0.0,0.0,0.0,0.7667,0.2748
SQLite,0.0091,0.0091,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796,0.0,0.0,0.0682,0.0,0.0,0.0,0.0,0.0,0.0163,0.0,0.0019,0.0,0.0001,0.0,0.028,0.0,0.0,0.0274,0.978,0.4467,0.0,0.0,0.1219,0.0261,0.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.1274,0.0001,0.0,0.0321,0.0585,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0011,0.0037,0.0,0.0,0.0,0.0103,0.2856,0.0148,0.1894,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.1371,0.037
Elasticsearch,0.524,0.524,0.0,0.0,0.0001,0.0,0.3119,0.0,0.3488,0.0,0.2279,0.1514,0.4978,0.0003,0.0,0.0,0.0,0.0033,0.0,0.0,0.0009,0.0,0.0003,0.0072,0.0,0.3232,0.2393,0.2149,0.0,0.0,0.1572,0.0173,0.0,0.0,0.5574,0.2562,0.1216,0.0,0.0152,0.0979,0.0368,0.0,0.0,0.0,0.0,0.0,0.6539,0.0904,0.0,0.0,0.0,0.0,0.003,0.0,0.6994,0.0001,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6242,0.0,0.0001,0.4108,0.0287,0.0,0.0,0.1029,0.0,0.0,0.0,0.353,0.0003
Redis,0.3999,0.3999,0.0,0.0,0.0,0.0,0.0171,0.0,0.0258,0.0,0.0905,0.0132,0.0006,0.0,0.0,0.0,0.0,0.0,0.1289,0.0,0.3669,0.0,0.2688,0.0013,0.0013,0.378,0.0235,0.0251,0.0,0.0003,0.0003,0.0005,0.0,0.2158,0.4945,0.0453,0.8572,0.0,0.0,0.0019,0.5468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0036,0.0,0.0465,0.0,0.0,0.2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8072,0.0,0.0,0.0244,0.0,0.0015,0.0,0.0905,0.0,0.0,0.0,0.3788,0.0011
MySQL,0.1279,0.1279,0.0,0.7269,0.0,0.0,0.0,0.0,0.0185,0.0,0.0034,0.0226,0.0,0.5028,0.0002,0.0,0.0,0.0016,0.0,0.0,0.011,0.0,0.0,0.3525,0.0,0.6326,0.9393,0.1559,0.0,0.0003,0.23,0.0001,0.0395,0.0036,0.4864,0.445,0.4418,0.3375,0.4048,0.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.7585,0.0,0.0,0.0,0.0,0.0004,0.0,0.0039,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326,0.0231,0.0,0.0,0.1403,0.0,0.0,0.0,0.4472,0.0,0.0,0.0,0.0612,0.0426
Microsoft SQL Server,0.897,0.897,0.0,0.0,0.0,0.0,0.2572,0.3794,0.0032,0.0,0.0003,0.0,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.2793,0.0,0.0,0.089,0.0422,0.0,0.0009,0.001,0.0,0.0,0.001,0.9412,0.0,0.5063,0.0,0.2744,0.0009,0.0,0.0,0.0426,0.1973,0.0001,0.0,0.0022,0.6539,0.0,0.7585,0.0,0.0,0.6912,0.2365,0.0,0.1118,0.198,0.8844,0.0,0.4623,0.5524,0.0,0.0,0.1147,0.0,0.0018,0.0,0.0,0.0,0.0,0.0001,0.0,0.0061,0.0068,0.0,0.0001,0.048,0.0,0.0,0.0,0.0,0.0,0.3271,0.6561
Oracle,0.5753,0.5753,0.0,0.2094,0.0001,0.0628,0.262,0.1171,0.5714,0.9822,0.0131,0.2153,0.0,0.0002,0.0329,0.0007,0.0,0.0007,0.0,0.0937,0.0,0.0,0.0,0.0754,0.5187,0.4772,0.5458,0.0,0.0072,0.0563,0.0669,0.0,0.0,0.1827,0.8852,0.372,0.9543,0.0016,0.5156,0.0057,0.0,0.0058,0.0,0.0904,0.0,0.0,0.0,0.0,0.0821,0.0,0.998,0.0419,0.0078,0.0,0.0,0.3334,0.9047,0.0,0.1174,0.1517,0.0,0.0082,0.0,0.0,0.0,0.0862,0.9037,0.0122,0.0,0.403,0.0,0.0049,0.0,0.0063,0.0,0.0801,0.0522,0.0047,0.0,0.0065
MongoDB,0.3636,0.3636,0.9956,0.2427,0.0,0.0,0.0001,0.0,0.0,0.0,0.0603,0.1271,0.5743,0.0093,0.0,0.0,0.1106,0.469,0.0,0.0,0.013,0.059,0.4847,0.0099,0.0,0.825,0.0677,0.4281,0.0,0.0,0.0,0.9369,0.0008,0.8008,0.0012,0.0251,0.8598,0.8625,0.0407,0.4369,0.0,0.0,0.0,0.0,0.0,0.0,0.6912,0.0821,0.0,0.0,0.0,0.0,0.0,0.0,0.0834,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.0,0.0,0.0942,0.0,0.0,0.6132,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.7038,0.0025
MariaDB,0.8727,0.8727,0.1163,0.0189,0.0,0.0,0.0249,0.0,0.7032,0.0,0.0,0.0,0.2166,0.0011,0.8875,0.0,0.0,0.0,0.0,0.0,0.0744,0.0,0.0,0.6958,0.4597,0.078,0.001,0.0029,0.0,0.448,0.2498,0.142,0.288,0.0837,0.0306,0.0012,0.891,0.0012,0.0031,0.1551,0.0037,0.0,0.0,0.0,0.0,0.0,0.2365,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0109,0.0,0.0,0.5051,0.0,0.0,0.0,0.0,0.0188,0.0023,0.002,0.0,0.0366,0.0001,0.0,0.0,0.0001,0.0,0.0,0.001,0.8868,0.0,0.0,0.0,0.0039,0.0678
DynamoDB,0.479,0.479,0.0,0.0009,0.1508,0.0,0.1261,0.1734,0.0015,0.0,0.4488,0.0012,0.0393,0.0523,0.0,0.0,0.0209,0.0,0.0,0.0,0.7728,0.0,0.7108,0.0411,0.0,0.4436,0.5179,0.0654,0.0,0.0,0.2226,0.0443,0.0,0.0,0.6608,0.5405,0.7678,0.4813,0.9842,0.5687,0.3683,0.0,0.1274,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0001,0.0,0.0,0.7096,0.0333,0.2879,0.0342,0.0,0.0,0.9244,0.0,0.0,0.0128,0.0177,0.0011,0.0,0.0085,0.0,0.0,0.0,0.0,0.0168,0.0035,0.0002,0.0,0.0,0.0007,0.1124,0.5304
Couchbase,0.7113,0.7113,0.0151,0.1126,0.4748,0.0023,0.0451,0.0658,0.005,0.1544,0.0428,0.0075,0.5959,0.0182,0.0051,0.0091,0.107,0.5353,0.0002,0.0,0.9947,0.5881,0.0146,0.01,0.8059,0.9065,0.8178,0.0445,0.0,0.1096,0.1752,0.582,0.0203,0.7542,0.6087,0.8263,0.5367,0.0385,0.005,0.0001,0.0,0.4356,0.0001,0.0,0.0039,0.0004,0.1118,0.0419,0.0,0.0,0.0001,0.0,0.0531,0.0,0.0029,0.1151,0.2873,0.0065,0.0043,0.0748,0.0745,0.0248,0.0001,0.0261,0.6983,0.2097,0.0001,0.1055,0.0199,0.0007,0.0065,0.5205,0.0,0.647,0.0002,0.0008,0.0,0.0,0.0014,0.0021
Firebase,0.2316,0.2316,0.1601,0.4601,0.0,0.0,0.0,0.001,0.0,0.561,0.9538,0.9099,0.7291,0.2161,0.0,0.4928,0.527,0.9207,0.0,0.0,0.4089,0.1083,0.1377,0.1073,0.0,0.7629,0.5635,0.6863,0.0204,0.2064,0.0,0.8412,0.5508,0.1889,0.6445,0.8233,0.7547,0.4676,0.5159,0.4065,0.1681,0.0012,0.0,0.003,0.0036,0.0,0.198,0.0078,0.0,0.0046,0.0,0.0531,0.0,0.4996,0.1192,0.0004,0.9812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0042,0.2007,0.1595,0.0539,0.0,0.7672,0.0,0.002,0.0,0.0039,0.0,0.0,0.0,0.5567,0.0021
Cassandra,0.4922,0.4922,0.0,0.4174,0.3401,0.9676,0.6021,0.5499,0.8708,0.0044,0.3313,0.0943,0.3287,0.0032,0.7816,0.0,0.0786,0.0621,0.0,0.0676,0.6816,0.4155,0.0021,0.4108,0.0004,0.5024,0.0636,0.0761,0.0,0.0,0.8023,0.9364,0.0,0.0,0.0172,0.0665,0.0576,0.0015,0.0,0.2603,0.0003,0.0,0.0321,0.0,0.0,0.0039,0.8844,0.0,0.0,0.0,0.0,0.0,0.4996,0.0,0.0535,0.6124,0.1839,0.3193,0.0,0.7589,0.9914,0.2029,0.0191,0.0395,0.1623,0.3326,0.0,0.0264,0.0,0.4698,0.0153,0.8581,0.0157,0.3834,0.0087,0.0001,0.0,0.0073,0.6278,0.6911
IBM DB2,0.3525,0.3525,0.006,0.8336,0.1654,0.8538,0.5806,0.2502,0.8827,0.8097,0.4868,0.5023,0.0178,0.0089,0.5841,0.2701,0.0,0.1548,0.0,0.8449,0.0002,0.0108,0.1175,0.5844,0.5496,0.9433,0.4969,0.0023,0.9184,0.0352,0.1341,0.0,0.001,0.3245,0.027,0.2076,0.7147,0.1852,0.4545,0.1502,0.0,0.8751,0.0585,0.6994,0.0465,0.0117,0.0,0.0,0.0834,0.0109,0.7096,0.0029,0.1192,0.0535,0.0,0.1704,0.9576,0.0005,0.7926,0.994,0.0008,0.4991,0.5863,0.0048,0.0149,0.4359,0.0598,0.1218,0.0,0.1265,0.008,0.6762,0.0349,0.5945,0.0001,0.0064,0.4067,0.1947,0.0132,0.0
Laravel,0.6346,0.6346,0.0,0.096,0.0,0.0,0.0,0.0,0.0001,0.8959,0.218,0.0936,0.035,0.4421,0.007,0.2822,0.0,0.0038,0.2968,0.0,0.0993,0.8526,0.0022,0.3839,0.7383,0.4355,0.5988,0.0204,0.0314,0.0579,0.0,0.5163,0.0561,0.4396,0.8013,0.1487,0.0413,0.1962,0.7037,0.2105,0.1701,0.004,0.0,0.0001,0.0,0.0,0.4623,0.3334,0.0,0.0,0.0333,0.1151,0.0004,0.6124,0.1704,0.0,0.0,0.0046,0.8762,0.0,0.0,0.0,0.0,0.0,0.4206,0.0003,0.2687,0.0006,0.6157,0.0,0.114,0.0004,0.0,0.0,0.4164,0.0,0.0001,0.0,0.6042,0.1732
Symfony,0.7693,0.7693,0.0031,0.929,0.0,0.0,0.0001,0.0,0.0553,0.9,0.0189,0.0524,0.0829,0.8142,0.217,0.0,0.0,0.3482,0.7748,0.0,0.0449,0.7312,0.0001,0.7996,0.7458,0.624,0.2028,0.122,0.2397,0.12,0.0008,0.1049,0.8972,0.2476,0.235,0.1336,0.6067,0.9188,0.0249,0.0276,0.0631,0.2163,0.0,0.0,0.0,0.0,0.5524,0.9047,0.0435,0.0,0.2879,0.2873,0.9812,0.1839,0.9576,0.0,0.0,0.3977,0.7818,0.0,0.0,0.3378,0.0253,0.0008,0.9291,0.0209,0.0405,0.077,0.7045,0.427,0.8822,0.0001,0.0,0.0952,0.7638,0.0,0.0737,0.0,0.4551,0.0144
Angular,0.0669,0.0669,0.0005,0.0008,0.0,0.0,0.7428,0.0067,0.0473,0.0,0.0533,0.0,0.0036,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0123,0.0021,0.0037,0.0197,0.0276,0.0032,0.5396,0.0001,0.0299,0.0164,0.0001,0.3771,0.0095,0.0065,0.0027,0.092,0.2583,0.1036,0.3006,0.178,0.0086,0.2355,0.0,0.0,0.0,0.0,0.5051,0.0342,0.0065,0.0,0.3193,0.0005,0.0046,0.3977,0.0,0.0085,0.0,0.0,0.0,0.0193,0.0,0.0,0.7916,0.3812,0.0,0.0,0.0075,0.0,0.0313,0.0078,0.4346,0.0,0.0034,0.0001,0.2874,0.3911,0.0441
Flask,0.5539,0.5539,0.0205,0.0,0.0042,0.0053,0.5353,0.332,0.8468,0.0,0.0,0.0,0.0,0.0,0.3804,0.0,0.0,0.0,0.0957,0.0002,0.3689,0.3836,0.0022,0.0008,0.8711,0.9478,0.0,0.2666,0.0,0.0166,0.5975,0.1054,0.0105,0.5385,0.6479,0.0003,0.2324,0.0799,0.4894,0.5148,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.1174,0.0,0.0,0.0,0.0043,0.0,0.0,0.7926,0.8762,0.7818,0.0085,0.0,0.0142,0.3539,0.0,0.0,0.314,0.8125,0.0,0.0,0.0,0.063,0.0001,0.0,0.0001,0.1905,0.0,0.4186,0.0,0.0,0.0,0.0185,0.0
Vue.js,0.1014,0.1014,0.0,0.0001,0.0,0.0,0.1061,0.0,0.2805,0.4371,0.6951,0.0125,0.0003,0.8943,0.0,0.8663,0.0,0.3019,0.1298,0.0,0.004,0.0,0.2316,0.0111,0.4298,0.0623,0.7725,0.0589,0.0,0.841,0.0223,0.6029,0.0682,0.0008,0.8696,0.1805,0.2302,0.2175,0.0918,0.6108,0.3189,0.0,0.0,0.0,0.0,0.0,0.1147,0.1517,0.0,0.0,0.0,0.0748,0.0,0.7589,0.994,0.0,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.2325,0.0,0.0032,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.4884,0.0245
jQuery,0.6048,0.6048,0.0,0.0001,0.0,0.0,0.0784,0.0,0.9456,0.0,0.595,0.0473,0.013,0.0,0.0,0.4194,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.3332,0.0,0.0015,0.5371,0.026,0.0002,0.0513,0.1101,0.0,0.3749,0.0,0.9971,0.3858,0.3906,0.0046,0.5661,0.1232,0.0005,0.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9244,0.0745,0.0,0.9914,0.0008,0.0,0.0,0.0,0.3539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.0,0.0016,0.0873,0.0,0.0018,0.0,0.0,0.0,0.0577,0.0002,0.0,0.1203,0.0023
Express,0.3112,0.3112,0.9141,0.0014,0.0,0.0,0.0004,0.0,0.0,0.0491,0.724,0.1226,0.0,0.0097,0.0,0.0,0.0055,0.0007,0.0,0.0,0.4553,0.0104,0.0994,0.0605,0.0031,0.0486,0.9452,0.3107,0.0,0.7121,0.0,0.1193,0.2867,0.0069,0.932,0.0507,0.2533,0.0063,0.0216,0.7714,0.1239,0.0,0.0,0.0,0.0,0.0,0.0018,0.0082,0.0,0.0,0.0,0.0248,0.0,0.2029,0.4991,0.0,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,0.1731,0.1093,0.0,0.0,0.0045,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.4272,0.0039
React.js,0.1677,0.1677,0.0195,0.0,0.0,0.0,0.2119,0.0,0.0021,0.0324,0.0061,0.0,0.0,0.0123,0.0,0.005,0.0011,0.0,0.0001,0.0,0.003,0.0,0.0,0.0,0.003,0.0522,0.0042,0.0246,0.0,0.2355,0.0012,0.0,0.4947,0.0,0.9873,0.3387,0.0001,0.0,0.0013,0.714,0.0266,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0,0.0001,0.0,0.0191,0.5863,0.0,0.0253,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.204,0.0,0.0,0.0001,0.0,0.0,0.0,0.2282,0.0,0.0,0.0,0.1624,0.346
Angular.js,0.5848,0.5848,0.0442,0.8779,0.0,0.0,0.0022,0.0,0.2218,0.0013,0.6023,0.0739,0.0857,0.1718,0.0,0.5151,0.0,0.0,0.0,0.0,0.0,0.0883,0.0595,0.8769,0.4963,0.0222,0.3023,0.0276,0.7812,0.2366,0.4394,0.0013,0.0147,0.0053,0.3922,0.4494,0.0003,0.0748,0.1348,0.03,0.0002,0.5008,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0128,0.0261,0.0,0.0395,0.0048,0.0,0.0008,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0229,0.0993,0.2054,0.0,0.0,0.3661,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.2172,0.6508,0.0
Ruby on Rails,0.1308,0.1308,0.0,0.0,0.0,0.0,0.0719,0.0293,0.1648,0.0,0.3165,0.0001,0.2109,0.4416,0.1489,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.1151,0.0016,0.097,0.0642,0.8025,0.1098,0.0,0.5978,0.1365,0.0,0.2184,0.7694,0.9196,0.2857,0.06,0.0,0.0,0.0,0.2454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.002,0.0177,0.6983,0.0091,0.1623,0.0149,0.4206,0.9291,0.0,0.8125,0.0,0.0,0.001,0.0,0.0229,0.0,0.058,0.2685,0.0,0.0629,0.066,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.6503,0.0092
Django,0.2559,0.2559,0.2601,0.0575,0.0,0.0,0.1892,0.0054,0.2491,0.0,0.1751,0.0007,0.0011,0.0448,0.7318,0.0,0.0,0.0,0.3817,0.0001,0.37,0.0936,0.0439,0.0,0.2317,0.8957,0.0051,0.518,0.0,0.9847,0.3271,0.7815,0.9167,0.5846,0.0624,0.0143,0.2097,0.596,0.7445,0.5379,0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0,0.0,0.0011,0.2097,0.0042,0.3326,0.4359,0.0003,0.0209,0.7916,0.0,0.0001,0.0,0.0001,0.0,0.0993,0.058,0.0,0.0,0.0,0.4647,0.0904,0.0,0.0,0.0,0.0,0.2355,0.0,0.0,0.0,0.2291,0.0007
FastAPI,0.4387,0.4387,0.0359,0.9299,0.4722,0.0957,0.6527,0.7856,0.4777,0.0,0.3857,0.0954,0.0409,0.0,0.2917,0.0,0.1568,0.0,0.7906,0.2426,0.1616,0.0253,0.2254,0.0058,0.3935,0.0646,0.0022,0.9809,0.0,0.0663,0.0574,0.6778,0.336,0.4489,0.0378,0.7976,0.6907,0.7805,0.8825,0.0325,0.2658,0.0,0.0,0.0,0.0,0.4326,0.0001,0.9037,0.0,0.0366,0.0,0.0001,0.2007,0.0,0.0598,0.2687,0.0405,0.3812,0.0,0.0,0.505,0.1731,0.0001,0.2054,0.2685,0.0,0.0,0.0,0.5195,0.0002,0.0,0.0001,0.3456,0.0003,0.0128,0.0,0.0,0.0001,0.1602,0.0018
ASP.NET Core ,0.9354,0.9354,0.0,0.0,0.0,0.0,0.5315,0.0533,0.2088,0.0,0.0126,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0099,0.267,0.0,0.0,0.0056,0.0,0.0004,0.0,0.2867,0.009,0.0,0.0,0.0731,0.4704,0.0031,0.0,0.0103,0.6242,0.8072,0.0231,0.0,0.0122,0.0942,0.0001,0.0085,0.1055,0.1595,0.0264,0.1218,0.0006,0.077,0.0,0.0,0.0,0.0,0.1093,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.1029,0.0,0.0045,0.8698,0.0,0.0,0.0,0.0,0.0,0.3459,0.5985
Spring,0.2488,0.2488,0.2379,0.0004,0.0391,0.0,0.0998,0.165,0.1393,0.7602,0.3942,0.1383,0.9274,0.9156,0.0,0.0,0.0,0.0,0.0,0.0,0.0421,0.1605,0.0078,0.4229,0.0,0.0939,0.971,0.9258,0.0031,0.0,0.7917,0.2033,0.0,0.9082,0.9931,0.5158,0.0915,0.0253,0.1048,0.1098,0.0003,0.0,0.2856,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0199,0.0539,0.0,0.0,0.6157,0.7045,0.0,0.063,0.2325,0.0016,0.0,0.0,0.0,0.0629,0.4647,0.5195,0.0,0.0,0.3595,0.0,0.1174,0.0466,0.6665,0.0172,0.0,0.0267,0.4462,0.0624,0.1797
Svelte,0.9121,0.9121,0.0573,0.8268,0.0,0.0,0.2921,0.0086,0.0194,0.2531,0.8397,0.0588,0.4643,0.0,0.0,0.007,0.2296,0.2166,0.0836,0.0,0.4042,0.0521,0.2636,0.4973,0.0063,0.3878,0.1803,0.6052,0.0,0.22,0.0,0.7313,0.7688,0.3076,0.3711,0.0017,0.047,0.0,0.0015,0.0004,0.1518,0.0,0.0148,0.0001,0.0,0.0,0.0068,0.403,0.0,0.0,0.0,0.0007,0.0,0.4698,0.1265,0.0,0.427,0.0075,0.0001,0.0,0.0873,0.0,0.0,0.3661,0.066,0.0904,0.0002,0.1029,0.3595,0.0,0.0241,0.0,0.0431,0.0,0.0157,0.0006,0.0,0.0,0.0455,0.0136
ASP.NET,0.8168,0.8168,0.0,0.0,0.0,0.0,0.7276,0.3476,0.1334,0.0,0.1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0241,0.0092,0.0,0.0003,0.0009,0.015,0.0,0.0,0.6527,0.0,0.0,0.0,0.1601,0.0009,0.0,0.0,0.1286,0.0169,0.0,0.0,0.1894,0.4108,0.0244,0.1403,0.0,0.0,0.6132,0.0001,0.0,0.0065,0.7672,0.0153,0.008,0.114,0.8822,0.0,0.0,0.0032,0.0,0.0045,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0,0.0068,0.005,0.0,0.0,0.0,0.0,0.0,0.1862,0.2151
